case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
sj_burn=0.1,area,Matched gap,0.2,337,337,70,0,267,4186207.497226808,134.0,555708.8777161391
sj_burn=0.1,area,General,0.3,337,337,32,0,305,113489000.61950026,101414505.86664648,693885.9494305181
sj_burn=0.1,area,New technology,0.3,337,337,0,0,337,116497153.17331353,100840037.61334768,795501.041413649
sj_burn=0.1,area,Matched gap,0.3,337,337,32,0,305,7003950.059521465,172.0,693885.9494305181
t_burn=0,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
t_burn=0,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
t_burn=0,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
t_burn=0,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
t_burn=0,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
t_burn=0,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
t_burn=0,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
t_burn=0,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
t_burn=0,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
t_burn=0,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
t_burn=0,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
t_burn=0,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
t_burn=0,area,General,0.0,337,337,37,0,300,0.0,0.0,0.0
t_burn=0,area,New technology,0.0,337,337,37,0,300,0.0,0.0,0.0
t_burn=0,area,Matched gap,0.0,337,337,37,0,300,0.0,0.0,0.0
t_burn=0,area,General,0.1,337,337,16,0,321,38331025.63213564,36202803.127829134,91111.83621290115
t_burn=0,area,New technology,0.1,337,337,0,0,337,38832384.39110451,35939818.05160895,154159.60864361457
t_burn=0,area,Matched gap,0.1,337,337,16,0,321,318104.39791505015,21.0,91111.83621290115
t_burn=0,area,General,0.2,337,337,3,0,334,77476759.2475957,72956628.12057188,143260.7199049079
t_burn=0,area,New technology,0.2,337,337,0,0,337,77664768.78220902,72923041.2812323,154159.60864361457
t_burn=0,area,Matched gap,0.2,337,337,3,0,334,872335.4209952283,34.0,143260.7199049079
t_burn=0,area,General,0.3,337,337,0,0,337,116497153.17331353,109906264.51085563,154159.60864361457
t_burn=0,area,New technology,0.3,337,337,0,0,337,116497153.17331353,109906264.51085563,154159.60864361457
t_burn=0,area,Matched gap,0.3,337,337,0,0,337,1095614.286915118,37.0,154159.60864361457
t_burn=0.1,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
t_burn=0.1,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
t_burn=0.1,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
t_burn=0.1,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
t_burn=0.1,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
t_burn=0.1,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
t_burn=0.1,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
t_burn=0.1,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
t_burn=0.1,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
t_burn=0.1,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
t_burn=0.1,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
t_burn=0.1,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
t_burn=0.1,area,General,0.0,337,337,337,0,0,0.0,0.0,0.0
